데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
2024-03-21 14:01,ICW0W2100560,10,3,532,6000,24.1,16,59,62
2024-03-21 14:01,ICW0W2100549,23,8,996,260,19.6,25,70,91
2024-03-21 14:01,ICW0W2100509,15,5,219,6000,22.7,24,62,69
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-21 14:01,ICW0W2100497,268,112,1190,97,26,22,56,54
2024-03-21 14:04,ICW0W2100491,6,3,1436,12885,26.9,21,73,55
2024-03-21 14:01,ICW0W2100485,12,4,1927,0,24.5,32,68,77
2024-03-21 14:01,ICW0W2100481,7,2,1821,2163,22.3,35,59,73
2024-03-21 14:01,ICW0W2100479,21,7,465,52,24.8,15,57,91
2024-03-21 14:01,ICW0W2100489,11,4,32,2,24,20,60,100
2024-03-21 14:01,ICW0W2100467,11,3,,6000,21.9,18,67,59
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-21 14:01,ICW0W2100462,16,5,107,3069,25,20,57,73
2024-03-21 14:01,ICW0W2100460,11,4,747,0,21.5,24,60,98
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-21 14:01,ICW0W2100455,15,5,560,4630,24.9,18,61,65
2024-03-21 14:01,ICW0W2000512,28,11,539,119,23.1,20,58,94
2024-03-21 14:01,ICW0W2001000,18,11,460,153,17.8,32,60,92
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-21 14:01,ICW0W2000951,35,11,352,187,22,22,55,94
2024-03-21 14:01,ICW0W2000956,26,15,979,295,18.5,33,67,90
2024-03-21 14:01,ICW0W2000996,19,19,510,6293,21.7,22,52,65
2024-03-21 14:01,ICW0W2000991,14,10,701,90,21.2,25,61,95
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-21 14:01,ICW0W2000983,16,11,104,119,16.3,27,65,95
2024-03-21 14:01,ICW0W2000955,23,16,570,818,18.6,22,67,80
2024-03-21 14:01,ICW0W2000987,7,5,876,352,22.9,26,60,93
2024-03-21 14:01,ICW0W2000978,20,13,631,154,16.8,24,47,91
2024-03-21 14:01,ICW0W2000922,13,3,430,34,23.3,30,59,99
2024-03-21 14:01,ICW0W2000926,14,4,229,144,27.7,24,50,91
2024-03-21 14:01,ICW0W2000977,9,6,876,1254,21.4,28,56,77
2024-03-21 14:01,ICW0W2000933,25,8,541,277,23.1,21,51,93
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-21 14:01,ICW0W2000973,100,46,694,1575,20.9,25,60,68
2024-03-21 14:01,ICW0W2000972,225,157,643,78,21.3,18,71,61
2024-03-21 14:01,ICW0W2000968,38,17,828,321,26.4,18,51,83
2024-03-21 14:01,ICW0W2000944,19,13,768,48,20.2,26,74,95
2024-03-21 14:01,ICW0W2000964,21,15,543,111,18,21,57,94
2024-03-21 14:01,ICW0W2000924,47,16,779,436,22.5,25,76,86
2024-03-21 14:01,ICW0W2000505,7,2,564,369,25,21,59,91
2024-03-21 14:01,V01T1623100,28,13,1169,442,23.8,25,58,83
2024-03-21 14:01,V01T1623130,1,1,936,180,24.3,18,44,90
2024-03-21 14:01,V01T1623129,17,8,644,146,27,16,39,89
2024-03-21 13:06,V01T1623123,25,12,484,125,22.4,15,30,92
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-21 14:00,V01T1623118,1,1,546,127,22.1,19,34,95
2024-03-21 14:00,V01T1623117,32,15,646,130,21.9,15,32,90
2024-03-21 14:01,V01T1623116,35,16,802,167,22.2,21,32,91
2024-03-21 14:01,V01T1623113,13,6,451,130,25.4,9,30,91
2024-03-21 13:02,V01T1623112,15,7,1301,125,29.5,29,42,77
2024-03-21 14:01,V01T1623109,50,22,2429,132,10.7,32,41,63
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-21 14:01,V01T1623105,34,16,552,154,20.1,17,58,89
2024-03-21 14:01,V01T1623102,10,5,2033,381,28,37,44,73
2024-03-21 14:01,ICW0W2000503,5,2,1019,601,22.4,29,59,87
2024-03-21 14:01,ICW0W2000455,12,4,181,95,20.4,31,65,99
2024-03-21 14:01,ICW0W2000447,9,3,692,124,19.6,24,68,97
2024-03-21 14:01,ICW0W2000459,12,4,783,31,26,19,65,91
2024-03-21 14:01,ICW0W2000507,9,5,678,105,25,19,59,91
2024-03-21 14:01,ICW0W2000501,9,3,495,1413,22.1,22,67,79
2024-03-21 14:01,ICW0W2000500,13,7,2500,428,28.9,17,61,67
2024-03-21 14:01,ICW0W2000380,21,7,677,254,18.2,28,54,93
2024-03-21 14:01,ICW0W2000275,14,4,794,123,16.7,32,49,93
2024-03-21 14:01,ICW0W2000388,15,5,671,215,16.6,30,48,92
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-21 14:01,ICW0W2000382,3,1,500,26,21.3,27,64,100
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-21 14:01,ICW0W2000287,10,3,948,138,24.8,22,53,92
2024-03-21 14:01,ICW0W2000398,23,8,592,107,24.1,20,57,92
2024-03-21 14:01,ICW0W2000974,3,2,1880,567,18.6,33,67,78
2024-03-21 14:01,ICW0W2000248,14,4,2011,71,25.6,20,65,76
2024-03-21 14:01,ICW0W2000262,21,7,583,26,18.1,24,66,97
2024-03-21 14:00,ICW0W2100488,23,8,480,217,22.8,15,71,91
2024-03-21 14:00,ICW0W2100506,32,12,59,10,22.1,14,55,95
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 14:00,ICW0W2100582,28,10,594,55,22.7,19,62,92
2024-03-21 14:00,ICW0W2100579,10,4,0,259,25.9,12,61,92
2024-03-21 14:01,ICW0W2100562,27,15,588,482,24.5,14,59,81
